"num_flights","fl_date","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","arr_delay"
3737,"2018-01-01",16.1530382595649,0.940735183795949,3.50037509377344,0.219054763690923,30.0022505626407,15.5012061109622
3860,"2018-01-02",14.4810606060606,0.208333333333333,4.53503787878788,1.05397727272727,22.4810606060606,8.38238341968912
3738,"2018-01-03",14.8908659549229,0.275207591933571,3.73309608540925,0.0806642941874259,19.5231316725979,4.7946452476573
3415,"2018-01-04",12.7139784946237,0.408602150537634,6.68602150537634,0.0451612903225806,15.6494623655914,-1.37628111273792
3663,"2018-01-05",17.5139442231076,0.392430278884462,7.22709163346614,0.201195219123506,19.8924302788845,-0.493989071038251
2871,"2018-01-06",20.9754901960784,0.0882352941176471,3.58333333333333,0.0735294117647059,16.1789215686275,-0.242677824267782
3600,"2018-01-07",15.7861538461538,0.783076923076923,4.41384615384615,0.16,20.4461538461538,2.31201334816463
3558,"2018-01-08",12.3293172690763,1.93574297188755,12.3440428380187,0,23.1847389558233,5.03068693693694
3515,"2018-01-09",12.6795031055901,0.845962732919255,14.0385093167702,0,36.7788819875776,9.2537954740762
3573,"2018-01-10",12.1747572815534,0.366990291262136,13.2155339805825,0,24.3592233009709,-0.0521592821088054
3576,"2018-01-11",10.7267525035765,1.35908440629471,12.7997138769671,0.0371959942775393,30.8154506437768,4.98146588037068
3439,"2018-01-12",14.789566755084,1.95755968169761,11.3200707338638,0.0291777188328912,25.2608311229001,13.9545851528384
2851,"2018-01-13",14.6296296296296,1.05698005698006,7.58974358974359,0.0427350427350427,13.011396011396,-4.17397404419502
3291,"2018-01-14",16.630303030303,0.315151515151515,6.84848484848485,0.196969696969697,17.2484848484848,-5.02461257976299
3568,"2018-01-15",12.1786516853933,0.47752808988764,8.37078651685393,0.0876404494382022,19.9168539325843,5.87882187938289
3324,"2018-01-16",14.0488636363636,1.64090909090909,9.88181818181818,0.0295454545454545,23.3613636363636,8.105358217941
3347,"2018-01-17",10.8988764044944,2.32022471910112,10.7494382022472,0.0528089887640449,20.3662921348315,6.87085201793722
3477,"2018-01-18",12.9714795008913,0.349376114081996,8.5632798573975,0,17.3939393939394,-0.735599078341014
3625,"2018-01-19",15.1891891891892,0.174636174636175,10.5301455301455,0.0395010395010395,21.8794178794179,-2.26690587910571
2872,"2018-01-20",16.90625,0,10.140625,0.140625,14.296875,-8.62517433751743
3129,"2018-01-21",11.8468158347676,0.662650602409639,12.6213425129088,0.0189328743545611,24.065404475043,1.58405379442843
3549,"2018-01-22",16.8461538461538,0,8.30769230769231,0,13.3076923076923,-3.86548223350254
3591,"2018-01-23",14.1755485893417,0.122257053291536,9.82758620689655,0,12.5329153605016,-5.85427695736974
3629,"2018-01-24",11.6089552238806,0.895522388059702,14.0029850746269,0,19.3432835820896,-4.48869900771775
3635,"2018-01-25",12.7954545454545,0,10.0941558441558,0,14.3084415584416,-5.28956785026149
3647,"2018-01-26",14.8892405063291,0,8.28164556962025,0.215189873417722,14.243670886076,-5.36745334796926
2887,"2018-01-27",25.2906403940887,0.783251231527094,7.21182266009852,0,13.3891625615764,-7.98440748440748
3291,"2018-01-28",14.8671875,0,7.8828125,0,11.25,-6.36242018850715
3632,"2018-01-29",9.11304347826087,0.382608695652174,13.6,0,14.3884057971014,-5.02038567493113
3618,"2018-01-30",11.7212543554007,0.209059233449477,11.4738675958188,0.118466898954704,13.9686411149826,-6.85315265486726
3633,"2018-01-31",12.4978723404255,0.4,12.2382978723404,0.174468085106383,12.5829787234043,-8.20319383259912
3648,"2018-02-01",12.7094594594595,0.297297297297297,11.5765765765766,0.382882882882883,15.7567567567568,-2.38423373759647
3662,"2018-02-02",23.95,0,5.74782608695652,0.232608695652174,22.4695652173913,0.0822332233223322
2897,"2018-02-03",16.0575539568345,0,9.50359712230216,0.143884892086331,10.136690647482,-8.71923743500867
2816,"2018-02-04",14.2785299806576,0.899419729206963,10.0096711798839,0.034816247582205,18.2340425531915,1.88631503920171
3651,"2018-02-05",11.0079726651481,1.72437357630979,9.89179954441913,0.167425968109339,26.0205011389522,7.48050139275766
3630,"2018-02-06",12.8498789346247,0.907990314769976,10.5351089588378,0.157384987893462,15.4406779661017,-2.73288814691152
3630,"2018-02-07",9.10383064516129,1.84778225806452,11.8951612903226,0.0534274193548387,22.1683467741935,9.29145876137364
3630,"2018-02-08",14.7710196779964,0.298747763864043,7.05187835420394,0.118067978533095,14.0071556350626,1.07021034678795
3658,"2018-02-09",11.7765567765568,1.21123321123321,9.83272283272283,0.0341880341880342,22.9218559218559,7.77306047648137
2917,"2018-02-10",14.0645604395604,0.31456043956044,5.66758241758242,0.324175824175824,18.1373626373626,6.02839116719243
3318,"2018-02-11",14.6720741599073,1.98725376593279,8.03012746234067,0.0880648899188876,23.6975666280417,10.10964332893
3659,"2018-02-12",13.9041916167665,0.0224550898203593,7.34131736526946,0.420658682634731,17.0583832335329,2.36421284808382
3628,"2018-02-13",11.2553191489362,0,9.22188449848024,0,13.2401215805471,-5.20088667220837
3032,"2018-02-14",15.5078651685393,0.0202247191011236,9.87865168539326,0.0696629213483146,14.9910112359551,-0.923689449236894
3670,"2018-02-15",15.4299332697807,0.124880838894185,7.2745471877979,0.224976167778837,21.1506196377502,9.98083161309348
3682,"2018-02-16",12.5817669172932,0.0291353383458647,7.76691729323308,0.0535714285714286,20.8843984962406,8.0960021756867
2929,"2018-02-17",12.6773109243697,4.13445378151261,11.0117647058824,0.139495798319328,17.3949579831933,4.08301756803307
