"fl_date","origin","avg_arr_delay","avg_dep_delay","num_of_flights"
"2018-01-01","LAX",3.95870206489676,14.9424778761062,678
"2018-01-02","LAX",6.76338028169014,14.1316526610644,714
"2018-01-03","LAX",-3.84040995607613,5.84941520467836,684
"2018-01-04","LAX",-3.10172143974961,6.50077760497667,643
"2018-01-05","LAX",10.6788856304985,15.7947214076246,682
"2018-01-06","LAX",-0.167796610169492,9.53898305084746,590
"2018-01-07","LAX",6.80406386066763,12.9465317919075,692
"2018-01-08","LAX",7.70821114369501,17.0629575402635,683
"2018-01-09","LAX",3.88643533123028,13.4047244094488,635
"2018-01-10","LAX",-0.139318885448916,6.21329211746522,647
"2018-01-11","LAX",-3.05208333333333,5.16642120765832,679
"2018-01-12","LAX",13.6417033773862,17.9794419970631,681
"2018-01-13","LAX",-6.53947368421053,2.47663551401869,535
"2018-01-14","LAX",-7.97203947368421,0.878489326765189,609
"2018-01-15","LAX",-3.0922619047619,6.29717682020802,673
"2018-01-16","LAX",-1.72089314194577,4.67675159235669,628
"2018-01-17","LAX",3.66978193146417,5.32710280373832,642
"2018-01-18","LAX",-0.167664670658683,3.71599402092676,669
"2018-01-19","LAX",-3.09319526627219,7.15976331360947,676
"2018-01-20","LAX",-8.49256505576208,0.566914498141264,538
"2018-01-21","LAX",1.21664050235479,8.55102040816327,637
"2018-01-22","LAX",-9.31240657698057,-1.06110283159463,671
"2018-01-23","LAX",-9.80847723704867,-0.0643642072213501,637
"2018-01-24","LAX",-4.85426356589147,2.84698608964451,647
"2018-01-25","LAX",-5.87887740029542,1.49115044247788,678
"2018-01-26","LAX",-7.1112737920937,-0.355783308931186,683
"2018-01-27","LAX",-5.0205223880597,2.07462686567164,536
"2018-01-28","LAX",-3.95,1.32814930015552,643
"2018-01-29","LAX",-5.31563421828909,-2.05457227138643,678
"2018-01-30","LAX",-9.16483516483516,-2.12068965517241,638
"2018-01-31","LAX",-11.6163328197227,-4.51692307692308,650
"2018-02-01","LAX",-4.96592592592593,4.25481481481481,679
"2018-02-02","LAX",-5.74781341107872,2.80203784570597,687
"2018-02-03","LAX",-10.5195530726257,-1.50837988826816,537
"2018-02-04","LAX",-7.91201353637902,0.558922558922559,595
"2018-02-05","LAX",-2.00749625187406,7.85267857142857,679
"2018-02-06","LAX",-10.7352024922118,-0.403100775193798,647
"2018-02-07","LAX",0.0944272445820433,3.87306501547988,654
"2018-02-08","LAX",-6.50746268656716,0.0955223880597015,679
"2018-02-09","LAX",16.6531531531532,25.0974512743628,683
"2018-02-10","LAX",-1.54253308128544,8.45505617977528,536
"2018-02-11","LAX",-1.42924528301887,7.08006279434851,643
"2018-02-12","LAX",-8.81952662721893,4.47935103244838,680
"2018-02-13","LAX",-15.5397815912637,1.39781591263651,646
"2018-02-14","LAX",-13.5409836065574,2.87213114754098,612
"2018-02-15","LAX",-5.12463768115942,10.2722063037249,702
"2018-02-16","LAX",-0.34468085106383,10.9304964539007,707
"2018-02-17","LAX",-6.28191489361702,5.53086419753086,568
