"fl_date","origin","avg_arr_delay","avg_dep_delay","num_of_flights"
"2018-01-01","ATL",15.6819306930693,19.863523573201,808
"2018-01-02","ATL",10.4189189189189,18.2017374517375,1040
"2018-01-03","ATL",3.0031612223393,11.6260593220339,950
"2018-01-04","ATL",2.58134243458476,9.63977272727273,882
"2018-01-05","ATL",1.66836215666328,8.27772126144456,984
"2018-01-06","ATL",-1.68876860622463,5.36820652173913,739
"2018-01-07","ATL",1.1278118609407,11.2589194699286,984
"2018-01-08","ATL",25.2950047125353,35.7776735459662,1066
"2018-01-09","ATL",0.912784935579782,10.4275862068966,1015
"2018-01-10","ATL",-7.44820909970958,3.63697967086157,1037
"2018-01-11","ATL",3.97840375586854,9.27383177570093,1072
"2018-01-12","ATL",29.8912015137181,35.8991517436381,1068
"2018-01-13","ATL",-3.25138121546961,8.29460580912863,724
"2018-01-14","ATL",-7.46731234866828,2.91908212560386,828
"2018-01-15","ATL",-1.45170454545455,7.83364839319471,1060
"2018-01-16","ATL",4.92992213570634,11.3028953229399,900
"2018-01-17","ATL",137.834067547724,131.215226939971,683
"2018-01-18","ATL",19.8509127789047,29.3626262626263,991
"2018-01-19","ATL",-2.59539170506912,6.85239852398524,1086
"2018-01-20","ATL",-9.67785234899329,1.16241610738255,746
"2018-01-21","ATL",-4.91838842975207,3.91975308641975,973
"2018-01-22","ATL",-2.96085740913327,5.99068901303538,1075
"2018-01-23","ATL",-7.36292682926829,0.522926829268293,1027
"2018-01-24","ATL",-8.87130600571973,0.690181124880839,1049
"2018-01-25","ATL",-8.32658693652254,0.835326586936523,1087
"2018-01-26","ATL",-10.982520699172,-0.327205882352941,1088
"2018-01-27","ATL",-10.718875502008,0.416890080428954,747
"2018-01-28","ATL",-4.25050916496945,5.78150406504065,985
"2018-01-29","ATL",-5.34995383194829,3.99815668202765,1086
"2018-01-30","ATL",-7.73617846750727,0.40737148399612,1031
"2018-01-31","ATL",-12.9914204003813,-1.58492366412214,1049
"2018-02-01","ATL",-7.85318559556787,0.539667896678967,1087
"2018-02-02","ATL",-4.29926335174954,3.08195211786372,1089
"2018-02-03","ATL",-10.6843575418994,-0.650904033379694,720
"2018-02-04","ATL",3.71194968553459,11.5714285714286,803
"2018-02-05","ATL",-2.26408125577101,5.00460829493088,1089
"2018-02-06","ATL",-9.94731707317073,0.387536514118793,1030
"2018-02-07","ATL",50.9309338521401,55.7932038834951,1048
"2018-02-08","ATL",-7.57367933271548,2.33178869323448,1085
"2018-02-09","ATL",-0.459662288930582,9.40540540540541,1089
"2018-02-10","ATL",0.672972972972973,11.3109017496635,748
"2018-02-11","ATL",11.8753894080997,19.7267080745342,987
"2018-02-12","ATL",-2.37950138504155,7.42488479262673,1089
"2018-02-13","ATL",-9.22784810126582,1.7046783625731,1029
"2018-02-14","ATL",-8.17566137566138,0.715336134453782,953
"2018-02-15","ATL",0.951672862453532,6.33703703703704,1092
"2018-02-16","ATL",-3.56442831215971,3.31090909090909,1105
"2018-02-17","ATL",-5.2940379403794,2.52845528455285,742
"2018-02-18","ATL",-9.57604790419162,1.27056019070322,839
"2018-02-19","ATL",-1.8491773308958,5.61328480436761,1103
"2018-02-20","ATL",0.430754536771729,9.74526515151515,1074
"2018-02-21","ATL",-6.19087523277467,6.11977715877437,1085
"2018-02-22","ATL",-3.96818181818182,6.2513611615245,1105
"2018-02-23","ATL",-4.12534059945504,6.45950864422202,1104
"2018-02-24","ATL",-2.92578616352201,4.22138364779874,799
"2018-02-25","ATL",-0.293372319688109,7.32587548638132,1030
"2018-02-26","ATL",-5.02357207615594,3.39473684210526,1105
"2018-02-27","ATL",-6.50373134328358,0.199813258636788,1074
"2018-02-28","ATL",-2.35807050092764,3.04621072088725,1085
"2018-03-01","ATL",11.5222929936306,16.2907608695652,1107
"2018-03-02","ATL",11.0485436893204,16.28886756238,1134
"2018-03-03","ATL",-1.17676143386897,4.63490099009901,817
"2018-03-04","ATL",-4.00772946859903,2.96814671814672,1041
"2018-03-05","ATL",-1.44188110026619,3.55321020228672,1139
"2018-03-06","ATL",1.53503184713376,7.26363636363636,1106
"2018-03-07","ATL",0.850187265917603,6.26345083487941,1118
"2018-03-08","ATL",0.0485008818342152,4.58223394898857,1142
"2018-03-09","ATL",0.649475524475524,5.31846019247594,1145
"2018-03-10","ATL",0.544456641053787,4.87582417582418,914
"2018-03-11","ATL",0.954337899543379,8.50591446769791,1102
