"fl_date","origin","avg_arr_delay","avg_dep_delay","num_of_flights"
"2018-01-01","IAH",0.0153846153846154,8.39120879120879,455
"2018-01-02","IAH",12.8411405295316,14.7474541751528,491
"2018-01-03","IAH",7.01470588235294,6.3109243697479,476
"2018-01-04","IAH",-2.94630872483221,4.07111111111111,450
"2018-01-05","IAH",-2.59290187891441,5.19832985386221,479
"2018-01-06","IAH",-2.57954545454545,3.22095671981777,440
"2018-01-07","IAH",2.27659574468085,9.6531914893617,470
"2018-01-08","IAH",7.81023454157783,5.83155650319829,469
"2018-01-09","IAH",-4.24719101123596,1.34304932735426,446
"2018-01-10","IAH",-10.2296137339056,-2.29828326180258,466
"2018-01-11","IAH",45.7583148558758,50.7057522123894,452
"2018-01-12","IAH",12.3240938166311,13.8,470
"2018-01-13","IAH",-2.10982658959538,4.94812680115274,347
"2018-01-14","IAH",-8.86915887850467,0.794392523364486,428
"2018-01-15","IAH",-8.54065934065934,1.48464912280702,456
"2018-01-16","IAH",105.447058823529,68.2470588235294,85
"2018-01-17","IAH",64.1291989664083,68.6520618556701,388
"2018-01-18","IAH",-2.59275053304904,6.60127931769723,469
"2018-01-19","IAH",-6.63291139240506,2.15400843881857,474
"2018-01-20","IAH",-4.57714285714286,3.20512820512821,351
"2018-01-21","IAH",0.749414519906323,8.15046296296296,432
"2018-01-22","IAH",-2.40343347639485,2.8068669527897,466
"2018-01-23","IAH",-11.2217194570136,-0.747747747747748,444
"2018-01-24","IAH",-14.768085106383,-1.35593220338983,472
"2018-01-25","IAH",-11.8821052631579,-1.87578947368421,475
"2018-01-26","IAH",-13.6139240506329,-2.73206751054852,475
"2018-01-27","IAH",-10.3541076487252,-0.394366197183099,355
"2018-01-28","IAH",-8.97959183673469,-0.798185941043084,441
"2018-01-29","IAH",-5.74309978768578,-1.01694915254237,472
"2018-01-30","IAH",-11.0625,-0.230425055928412,448
"2018-01-31","IAH",-13.4574468085106,-2.43404255319149,470
"2018-02-01","IAH",-13.8818565400844,-2.93459915611814,475
"2018-02-02","IAH",-9.39375,1.46458333333333,480
"2018-02-03","IAH",-13.1464788732394,-1.92696629213483,356
"2018-02-04","IAH",-0.162790697674419,8.77030162412993,436
"2018-02-05","IAH",-5.95348837209302,3.48837209302326,476
"2018-02-06","IAH",-3.88863636363636,5.225,449
"2018-02-07","IAH",16.9353448275862,17.7808510638298,475
"2018-02-08","IAH",-8.28991596638656,3.81302521008403,478
"2018-02-09","IAH",-3.05543710021322,6.97033898305085,477
"2018-02-10","IAH",1.91168091168091,7.94632768361582,357
"2018-02-11","IAH",7.86896551724138,11.9658314350797,445
"2018-02-12","IAH",-8.10782241014799,1.55789473684211,476
"2018-02-13","IAH",-3.17410714285714,4.49553571428571,449
"2018-02-14","IAH",0.760775862068966,5.88412017167382,466
"2018-02-15","IAH",-0.579381443298969,7.68635437881874,495
"2018-02-16","IAH",-5.86206896551724,2.65922920892495,495
"2018-02-17","IAH",-4.73242630385488,4.26292134831461,446
"2018-02-18","IAH",-5.82773109243697,5.53249475890985,478
"2018-02-19","IAH",-6.18069815195072,2.60122699386503,491
"2018-02-20","IAH",11.2390852390852,13.3941908713693,490
"2018-02-21","IAH",36.7515657620042,30.1247401247401,491
"2018-02-22","IAH",4.7530612244898,11.6085192697769,493
"2018-02-23","IAH",-3.88343558282209,5.26734693877551,493
"2018-02-24","IAH",-0.426966292134831,5.15848214285714,448
"2018-02-25","IAH",33.7422037422037,28.3900414937759,489
"2018-02-26","IAH",-7.26584867075665,2.48875255623722,490
"2018-02-27","IAH",-4.18979591836735,0.618367346938775,490
"2018-02-28","IAH",-5.01646090534979,2.55737704918033,488
"2018-03-01","IAH",-2.17805383022774,5.17525773195876,488
"2018-03-02","IAH",-1.92424242424242,7.53961456102784,489
"2018-03-03","IAH",-10.2821670428894,0.216216216216216,444
"2018-03-04","IAH",-7.59205020920502,1.1975051975052,482
"2018-03-05","IAH",8.3035343035343,11.0329896907216,487
"2018-03-06","IAH",-6.82231404958678,2.03711340206186,487
"2018-03-07","IAH",0.55531453362256,1.8372591006424,486
"2018-03-08","IAH",-4.68312757201646,1.41803278688525,489
"2018-03-09","IAH",-7.80281690140845,-0.827309236947791,499
"2018-03-10","IAH",-2.1503416856492,2.87927107061503,439
"2018-03-11","IAH",2.18144329896907,5.87654320987654,488
"2018-03-12","IAH",0.853658536585366,0.642276422764228,495
"2018-03-13","IAH",-4.50826446280992,1.57644628099174,491
"2018-03-14","IAH",-7.48571428571429,-0.221995926680244,492
"2018-03-15","IAH",-8.77710843373494,0.532128514056225,498
"2018-03-16","IAH",-3.92971887550201,3.58433734939759,499
"2018-03-17","IAH",-3.97482837528604,3.58181818181818,440
"2018-03-18","IAH",-3.91115702479339,4.20412371134021,488
"2018-03-19","IAH",1.80408163265306,4.67142857142857,491
"2018-03-20","IAH",2.9453781512605,2.44654088050314,487
"2018-03-21","IAH",-4.01573033707865,2.65990990990991,488
"2018-03-22","IAH",-1.5578093306288,4.07302231237322,494
"2018-03-23","IAH",-2.10794297352342,3.34349593495935,493
"2018-03-24","IAH",-6.34018264840183,1.24145785876993,439
"2018-03-25","IAH",-6.43621399176955,2.43558282208589,489
"2018-03-26","IAH",-5.67617107942973,2.43673469387755,491
"2018-03-27","IAH",-6.05590062111801,3.15734989648033,486
"2018-03-28","IAH",45.6361445783132,40.6099290780142,486
"2018-03-29","IAH",1.30309278350515,12.8008213552361,492
"2018-03-30","IAH",-8.02231237322515,3.45121951219512,493
"2018-03-31","IAH",-8.62237762237762,-0.137529137529138,429
