"fl_date","number_of_fl"
"2018-09-11",21681
"2018-09-12",21990
"2018-09-13",22824
"2018-09-14",22868
"2018-09-15",17739
"2018-09-16",21776
"2018-09-17",22809
"2018-09-18",21743
"2018-09-19",22029
"2018-09-20",22819
"2018-09-21",22871
"2018-09-22",17727
"2018-09-23",21771
"2018-09-24",22803
"2018-09-25",21733
"2018-09-26",22024
"2018-09-27",22809
"2018-09-28",22868
"2018-09-29",17720
"2018-09-30",21754
"2018-10-01",22797
"2018-10-02",21626
"2018-10-03",22147
"2018-10-04",22953
"2018-10-05",23052
"2018-10-06",17773
"2018-10-07",21631
"2018-10-08",22937
"2018-10-09",21953
"2018-10-10",22138
"2018-10-11",23023
"2018-10-12",23071
"2018-10-13",17871
"2018-10-14",21795
"2018-10-15",23020
"2018-10-16",22102
"2018-10-17",22276
"2018-10-18",23039
"2018-10-19",23069
"2018-10-20",17852
"2018-10-21",21777
"2018-10-22",23016
"2018-10-23",22095
"2018-10-24",22263
"2018-10-25",23027
"2018-10-26",23049
"2018-10-27",17552
"2018-10-28",20971
"2018-10-29",21776
"2018-10-30",20388
"2018-10-31",18051
"2018-11-01",21640
"2018-11-02",22096
"2018-11-03",17421
"2018-11-04",21451
"2018-11-05",22427
"2018-11-06",21147
"2018-11-07",21659
"2018-11-08",22773
"2018-11-09",22812
"2018-11-10",17440
"2018-11-11",21707
"2018-11-12",22856
"2018-11-13",21953
"2018-11-14",22145
"2018-11-15",22967
"2018-11-16",23218
"2018-11-17",18512
"2018-11-18",21081
"2018-11-19",21510
"2018-11-20",22313
"2018-11-21",23179
"2018-11-22",13323
"2018-11-23",16463
"2018-11-24",22240
"2018-11-25",24113
"2018-11-26",23460
"2018-11-27",21604
"2018-11-28",21013
"2018-11-29",22190
"2018-11-30",22272
"2018-12-01",17019
"2018-12-02",20829
"2018-12-03",21813
"2018-12-04",20696
"2018-12-05",21286
"2018-12-06",22195
"2018-12-07",22269
"2018-12-08",16923
"2018-12-09",20702
"2018-12-10",21819
"2018-12-11",20728
"2018-12-12",21258
"2018-12-13",22226
"2018-12-14",22305
"2018-12-15",17021
"2018-12-16",20760
"2018-12-17",21880
"2018-12-18",21104
"2018-12-19",22269
"2018-12-20",22895
"2018-12-21",22962
"2018-12-22",21195
"2018-12-23",22296
"2018-12-24",17708
"2018-12-25",17265
"2018-12-26",22518
"2018-12-27",22661
"2018-12-28",22676
"2018-12-29",21141
"2018-12-30",22263
"2018-12-31",18643
"2019-01-01",19683
"2019-01-02",22311
"2019-01-03",21384
"2019-01-04",21439
"2019-01-05",18533
"2019-01-06",21284
"2019-01-07",21851
"2019-01-08",20566
"2019-01-09",21020
"2019-01-10",21823
"2019-01-11",21934
"2019-01-12",16773
"2019-01-13",20300
"2019-01-14",21781
"2019-01-15",20402
"2019-01-16",20881
"2019-01-17",21800
"2019-01-18",21858
"2019-01-19",16370
"2019-01-20",18454
"2019-01-21",21312
"2019-01-22",20407
"2019-01-23",20886
"2019-01-24",21801
"2019-01-25",21889
"2019-01-26",16727
"2019-01-27",20306
"2019-01-28",21772
"2019-01-29",20411
"2019-01-30",20889
"2019-01-31",21802
"2019-02-01",21888
"2019-02-02",16397
"2019-02-03",18466
"2019-02-04",21819
"2019-02-05",20418
"2019-02-06",20911
"2019-02-07",21810
"2019-02-08",21896
"2019-02-09",16741
"2019-02-10",20340
"2019-02-11",21829
"2019-02-12",20460
"2019-02-13",21112
"2019-02-14",22300
"2019-02-15",22471
"2019-02-16",17408
"2019-02-17",19474
"2019-02-18",22158
"2019-02-19",21584
"2019-02-20",21898
"2019-02-21",22375
"2019-02-22",22433
"2019-02-23",17872
"2019-02-24",21093
"2019-02-25",22389
"2019-02-26",21599
"2019-02-27",21388
"2019-02-28",22437
"2019-03-01",22484
"2019-03-02",18511
"2019-03-03",21656
"2019-03-04",22790
"2019-03-05",21971
"2019-03-06",22344
"2019-03-07",23082
"2019-03-08",23248
"2019-03-09",19522
"2019-03-10",22382
"2019-03-11",23249
"2019-03-12",22558
"2019-03-13",22839
"2019-03-14",23305
"2019-03-15",23361
"2019-03-16",19626
"2019-03-17",22456
"2019-03-18",23238
"2019-03-19",22564
"2019-03-20",22824
"2019-03-21",23215
"2019-03-22",23258
"2019-03-23",19536
"2019-03-24",22362
"2019-03-25",23204
"2019-03-26",22534
"2019-03-27",22796
"2019-03-28",23209
"2019-03-29",23250
"2019-03-30",19527
"2019-03-31",22320
"2019-04-01",23192
"2019-04-02",22413
"2019-04-03",22739
"2019-04-04",23290
"2019-04-05",23353
"2019-04-06",19162
"2019-04-07",22297
"2019-04-08",23266
"2019-04-09",22389
"2019-04-10",22679
"2019-04-11",23265
"2019-04-12",23309
"2019-04-13",18698
"2019-04-14",22297
"2019-04-15",23292
"2019-04-16",22357
"2019-04-17",22692
"2019-04-18",23283
"2019-04-19",23303
"2019-04-20",18261
"2019-04-21",21500
"2019-04-22",23280
"2019-04-23",22355
"2019-04-24",22635
"2019-04-25",23251
"2019-04-26",23289
"2019-04-27",18587
"2019-04-28",22261
"2019-04-29",23239
"2019-04-30",22325
"2019-05-01",22616
"2019-05-02",23215
"2019-05-03",23400
"2019-05-04",18736
"2019-05-05",22462
"2019-05-06",23466
"2019-05-07",22609
"2019-05-08",22891
"2019-05-09",23442
"2019-05-10",23525
"2019-05-11",18467
"2019-05-12",21999
"2019-05-13",23519
"2019-05-14",22666
"2019-05-15",23020
"2019-05-16",23555
"2019-05-17",23614
"2019-05-18",18887
"2019-05-19",22593
"2019-05-20",23598
"2019-05-21",22760
"2019-05-22",23148
"2019-05-23",23626
"2019-05-24",23675
"2019-05-25",18221
"2019-05-26",18850
"2019-05-27",22425
"2019-05-28",22897
"2019-05-29",23124
"2019-05-30",23632
"2019-05-31",23673
"2019-06-01",19004
"2019-06-02",22661
"2019-06-03",23636
