"fl_date","origin","avg_arr_delay","avg_dep_delay","num_of_flights"
"2018-01-01","DEN",11.2070921985816,18.5035460992908,705
"2018-01-02","DEN",9.47849462365591,15.9234899328859,745
"2018-01-03","DEN",3.42011019283747,11.9738292011019,726
"2018-01-04","DEN",-1.92532942898975,8.43586005830904,686
"2018-01-05","DEN",-0.185815602836879,8.58781869688385,706
"2018-01-06","DEN",-1.3419773095624,7.33117932148627,619
"2018-01-07","DEN",6.25106382978723,14.1586402266289,706
"2018-01-08","DEN",1.39577039274924,8.85090361445783,664
"2018-01-09","DEN",1.61428571428571,10.4218009478673,633
"2018-01-10","DEN",0.506269592476489,7.3578125,640
"2018-01-11","DEN",9.83132530120482,13.0254872563718,667
"2018-01-12","DEN",14.592203898051,16.3183856502242,669
"2018-01-13","DEN",-0.881118881118881,7.88461538461539,572
"2018-01-14","DEN",-4.0016583747927,5.33553719008264,605
"2018-01-15","DEN",35.6932330827068,31.9699248120301,665
"2018-01-16","DEN",4.45253164556962,11.6319115323855,633
"2018-01-17","DEN",6.74494556765163,11.8788819875776,644
"2018-01-18","DEN",-1.97142857142857,4.39611360239163,669
"2018-01-19","DEN",-3.36053412462908,3.01481481481481,675
"2018-01-20","DEN",-5.15901060070671,3.14235500878735,569
"2018-01-21","DEN",55.0885608856089,42.9558823529412,544
"2018-01-22","DEN",9.7217125382263,15.282012195122,656
"2018-01-23","DEN",-5.22641509433962,3.86320754716981,636
"2018-01-24","DEN",-8.07763975155279,1.17829457364341,645
"2018-01-25","DEN",-2.87144992526158,2.01793721973094,669
"2018-01-26","DEN",-4.01923076923077,4.15828402366864,676
"2018-01-27","DEN",-9.2972027972028,1.08566433566434,572
"2018-01-28","DEN",-8.47626339969372,1.30122324159021,654
"2018-01-29","DEN",-7.12184249628529,0.474777448071217,674
"2018-01-30","DEN",-5.39089481946625,1.42410015649452,639
"2018-01-31","DEN",-5.70061728395062,3.04012345679012,648
"2018-02-01","DEN",8.83851851851852,9.9437037037037,675
"2018-02-02","DEN",-2.12041116005874,6.60352422907489,681
"2018-02-03","DEN",-8.60420315236427,1.96341463414634,574
"2018-02-04","DEN",18.8270799347471,18.6661316211878,630
"2018-02-05","DEN",9.76233183856502,16.7172619047619,678
"2018-02-06","DEN",-5.07064364207221,5.13615023474178,644
"2018-02-07","DEN",2.49767441860465,10.2163833075734,651
"2018-02-08","DEN",-5.83083832335329,3.74887892376682,677
"2018-02-09","DEN",39.9041095890411,31.1148036253776,681
"2018-02-10","DEN",42.0522522522523,30.2657091561939,574
"2018-02-11","DEN",9.19349845201238,14.8516228748068,660
"2018-02-12","DEN",15.1940740740741,14.5058997050148,681
"2018-02-13","DEN",-2.5453125,7.559375,640
"2018-02-14","DEN",-0.977198697068404,5.91368078175896,614
"2018-02-15","DEN",7.07715133531157,12.0989660265879,689
"2018-02-16","DEN",0.155749636098981,8.32801161103048,690
"2018-02-17","DEN",-1.38947368421053,8.39024390243902,576
"2018-02-18","DEN",2.18808777429467,7.8,640
"2018-02-19","DEN",47.3453996983409,26.7004470938897,690
"2018-02-20","DEN",22.6902927580894,24.8897396630934,667
"2018-02-21","DEN",5.56617647058824,10.2880116959064,689
"2018-02-22","DEN",21.6268221574344,19.5843023255814,688
"2018-02-23","DEN",11.0668604651163,12.7666666666667,690
"2018-02-24","DEN",0.539267015706806,7.17739130434783,580
"2018-02-25","DEN",-0.489425981873112,8.32730015082956,664
"2018-02-26","DEN",-3.68122270742358,5.81540697674419,689
"2018-02-27","DEN",-7.97723823975721,3.78851963746224,664
"2018-02-28","DEN",-6.12445095168375,5.51970802919708,686
"2018-03-01","DEN",-0.124269005847953,8.56686046511628,690
"2018-03-02","DEN",4.27136431784108,11.7288888888889,695
"2018-03-03","DEN",-3.79616724738676,5.53979238754325,583
"2018-03-04","DEN",9.44769230769231,15.7235023041475,667
"2018-03-05","DEN",49.5932203389831,54.2852760736196,696
"2018-03-06","DEN",-4.57871064467766,4.19790104947526,669
"2018-03-07","DEN",-6.12293853073463,2.58955223880597,692
"2018-03-08","DEN",-4.34379457917261,3.08559201141227,704
"2018-03-09","DEN",-4.79558011049724,2.90883977900552,724
"2018-03-10","DEN",-6.30031948881789,2.27156549520767,627
"2018-03-11","DEN",-5.0709219858156,2.94475920679887,706
"2018-03-12","DEN",-5.76150627615063,3.17548746518106,723
"2018-03-13","DEN",-6.14957264957265,2.5049786628734,710
"2018-03-14","DEN",-4.45926966292135,2.85533707865169,712
"2018-03-15","DEN",6.34353268428373,8.69432918395574,724
"2018-03-16","DEN",9.39669421487603,14.6492434662999,728
"2018-03-17","DEN",-5.69218500797448,2.34022257551669,629
"2018-03-18","DEN",15.6040172166428,14.5957446808511,709
"2018-03-19","DEN",0.740638002773925,5.23439667128988,722
"2018-03-20","DEN",2.07142857142857,6.59317211948791,710
"2018-03-21","DEN",-1.94230769230769,6.00147928994083,712
"2018-03-22","DEN",1.04027777777778,7.52908587257618,725
"2018-03-23","DEN",5.43472222222222,9.23172413793104,729
"2018-03-24","DEN",-4.34294871794872,2.73961661341853,629
"2018-03-25","DEN",-0.946403385049365,5.95633802816901,710
"2018-03-26","DEN",-0.374479889042996,4.37067773167358,724
"2018-03-27","DEN",-0.634317862165963,6.41068917018284,713
"2018-03-28","DEN",13.7730496453901,13.7134831460674,713
"2018-03-29","DEN",6.93767313019391,9.49100968188105,724
"2018-03-30","DEN",-2.41217150760719,5.39640883977901,726
"2018-03-31","DEN",-5.67218543046358,3.78973509933775,604
"2018-04-01","DEN",-11.1905444126074,0.927038626609442,699
