"avg_arr_delay","avg_dep_delay","fl_date"
14.4827658459927,21.0476240318191,"2018-01-01"
11.2432837920203,17.5119985001875,"2018-01-02"
7.1900949729004,13.3589284826798,"2018-01-03"
2.63469769124118,9.3705152901517,"2018-01-04"
12.6865909441332,18.3525545571245,"2018-01-05"
8.14256259204713,15.3726528930484,"2018-01-06"
11.2279510856002,18.1066892464014,"2018-01-07"
13.8624832447997,18.9685609441634,"2018-01-08"
5.26254766567041,12.1042853477034,"2018-01-09"
-1.14259525343111,5.55327361805315,"2018-01-10"
5.27188694768427,10.3499301103774,"2018-01-11"
23.8934426229508,26.2346105684949,"2018-01-12"
0.914260272229996,9.37017488076312,"2018-01-13"
-3.04272274488102,4.21908185840708,"2018-01-14"
11.8867646336069,14.574976684828,"2018-01-15"
4.90743368627879,10.3176688655073,"2018-01-16"
22.9897037771171,25.1085497359155,"2018-01-17"
1.80106914814631,9.92207278481013,"2018-01-18"
-5.55442402425161,3.3253091977444,"2018-01-19"
-8.99079544747808,1.09145129224652,"2018-01-20"
0.530193934934567,7.51697757283588,"2018-01-21"
-0.951770724680872,5.77466045404977,"2018-01-22"
-0.835020967576966,5.6437845021468,"2018-01-23"
-3.62286555446516,2.40465093460236,"2018-01-24"
-5.39622104063806,1.40506689439226,"2018-01-25"
-7.10442903636621,0.985996510915177,"2018-01-26"
-9.20932256059664,-0.239458485996398,"2018-01-27"
-4.4050237888167,2.686969851814,"2018-01-28"
0.349787152628306,5.73812027918539,"2018-01-29"
-2.39207560519533,3.955474784189,"2018-01-30"
-9.49500538634806,-0.975073457394711,"2018-01-31"
-4.10923091548626,2.70047987836746,"2018-02-01"
2.11773910569491,7.93874360432064,"2018-02-02"
-6.64563076344019,1.41971830985916,"2018-02-03"
14.6431736038242,17.4500318637391,"2018-02-04"
7.24765183181706,12.8381349693252,"2018-02-05"
-2.2752121119748,3.85674442190669,"2018-02-06"
18.3132993657066,20.2188146462557,"2018-02-07"
-1.62774321130565,5.11421136330779,"2018-02-08"
11.5815569972196,16.5498795921504,"2018-02-09"
6.69844677358252,11.2132033951588,"2018-02-10"
19.05985306828,23.1899318413567,"2018-02-11"
1.20159862154789,7.86711281070746,"2018-02-12"
-6.53781554862717,1.74743615523829,"2018-02-13"
-5.04263005780347,2.57179632394584,"2018-02-14"
7.8138030194105,13.5962617711405,"2018-02-15"
5.56052279129913,10.324196074818,"2018-02-16"
3.52375585740554,7.93755533258573,"2018-02-17"
0.968353430572376,7.54423733263324,"2018-02-18"
8.88751527686378,11.8444725264439,"2018-02-19"
14.5567580924141,19.2770452428803,"2018-02-20"
4.9337985755939,11.2996088532723,"2018-02-21"
10.3490385065269,14.6676776631982,"2018-02-22"
6.92885302165948,11.9253330866025,"2018-02-23"
4.56165501165501,10.4562920826561,"2018-02-24"
4.00906773845701,10.0334343533092,"2018-02-25"
-2.20043542708912,4.99634648291171,"2018-02-26"
-4.56405380995389,2.34230988052342,"2018-02-27"
-2.07553838179162,3.76583051484404,"2018-02-28"
8.69834301090497,12.8675502914082,"2018-03-01"
10.1811478567105,15.4731335149864,"2018-03-02"
2.2286036036036,10.6737869822485,"2018-03-03"
1.56066822977726,8.18882005755817,"2018-03-04"
6.77214539338441,11.7887822603186,"2018-03-05"
-1.0858247665755,4.49858597285068,"2018-03-06"
-0.677025586353945,4.85733262486716,"2018-03-07"
1.51147510642236,7.29125809435708,"2018-03-08"
0.576929973998027,6.36699838622916,"2018-03-09"
-2.27008280460265,4.45342649825316,"2018-03-10"
2.02488509215841,7.90709318497914,"2018-03-11"
1.60875289417533,6.84328290606033,"2018-03-12"
2.24405908798972,7.16286869882608,"2018-03-13"
2.28918200970963,8.11466105186067,"2018-03-14"
1.55996598943883,7.3927071230673,"2018-03-15"
3.89143546441496,9.03806676187076,"2018-03-16"
-3.32044080671909,3.77848473506924,"2018-03-17"
-1.3092019996297,5.38271719038817,"2018-03-18"
0.80163433908046,5.29149470662121,"2018-03-19"
9.93874521072797,12.3516856078694,"2018-03-20"
6.1186672752168,10.7963942444407,"2018-03-21"
9.11028494896781,13.9775053010049,"2018-03-22"
2.04199240562877,7.46806516402589,"2018-03-23"
-0.896208658241463,5.53659846409967,"2018-03-24"
-2.1803665648431,4.27609007259444,"2018-03-25"
-1.34437589413448,3.42038245018318,"2018-03-26"
-0.468684614311619,5.18352755466828,"2018-03-27"
3.24815713566229,7.86475017111567,"2018-03-28"
5.06302709492194,9.50243989792721,"2018-03-29"
1.24906048675734,6.76853922533321,"2018-03-30"
-4.0284391174067,3.46193583469277,"2018-03-31"
-4.14738532760168,3.3511778312798,"2018-04-01"
11.4316165035221,15.8295164233577,"2018-04-02"
16.5887439816762,16.7342396871217,"2018-04-03"
12.8796839515519,16.1119160747048,"2018-04-04"
1.608078994614,6.40570736303675,"2018-04-05"
12.3793056377122,14.3754811829174,"2018-04-06"
1.64286884798165,6.60576975513988,"2018-04-07"
0.279024480712166,5.8444290016215,"2018-04-08"
3.87727657300619,7.51214737029456,"2018-04-09"
1.49006130410552,6.21503237742831,"2018-04-10"
-3.96154194600471,1.74250384998641,"2018-04-11"
-0.897277612470578,4.21786221590909,"2018-04-12"
5.89183143956339,8.19916310541311,"2018-04-13"
3.46197496197496,8.07026523964635,"2018-04-14"
23.0551380891968,23.2931243631423,"2018-04-15"
24.5262619689505,27.2944734290595,"2018-04-16"
2.37879425658295,8.00887021475257,"2018-04-17"
-1.2453813791842,4.37617655121996,"2018-04-18"
3.67594813038458,7.8947181377993,"2018-04-19"
