"count","origin","origin_city_name","origin_airport_id"
10348,"BIS","Bismarck/Mandan, ND",10627
10323,"AGS","Augusta, GA",10208
10184,"MFE","Mission/McAllen/Edinburg, TX",13256
9764,"LFT","Lafayette, LA",12951
9680,"GNV","Gainesville, FL",11953
9664,"FAI","Fairbanks, AK",11630
9505,"FNT","Flint, MI",11721
9405,"GJT","Grand Junction, CO",11921
9384,"SCE","State College, PA",14711
9135,"FCA","Kalispell, MT",11648
9121,"JAC","Jackson, WY",12441
9059,"MGM","Montgomery, AL",13277
8917,"FAY","Fayetteville, NC",11641
8913,"JNU","Juneau, AK",12523
8909,"MRY","Monterey, CA",13476
8783,"GPT","Gulfport/Biloxi, MS",11973
8421,"RST","Rochester, MN",14633
8403,"LAN","Lansing, MI",12884
8378,"TRI","Bristol/Johnson City/Kingsport, TN",15323
8228,"DRO","Durango, CO",11413
8191,"STS","Santa Rosa, CA",15023
7976,"PHF","Newport News/Williamsburg, VA",14098
7912,"HRL","Harlingen/San Benito, TX",12206
7897,"AZO","Kalamazoo, MI",10469
7149,"LNK","Lincoln, NE",13029
7036,"BLI","Bellingham, WA",10666
7011,"PAE","Everett, WA",14004
6992,"CWA","Mosinee, WI",11203
6846,"DAB","Daytona Beach, FL",11252
6725,"OAJ","Jacksonville/Camp Lejeune, NC",13795
6661,"AEX","Alexandria, LA",10185
6387,"ACY","Atlantic City, NJ",10158
6378,"GRK","Killeen, TX",11982
6300,"GTF","Great Falls, MT",12003
6284,"STT","Charlotte Amalie, VI",15024
6239,"BMI","Bloomington/Normal, IL",10685
6168,"DLH","Duluth, MN",11337
6052,"COU","Columbia, MO",11111
6015,"MLU","Monroe, LA",13377
5976,"MBS","Saginaw/Bay City/Midland, MI",13184
5908,"CMI","Champaign/Urbana, IL",11067
5851,"ITH","Ithaca/Cortland, NY",12397
5847,"SGU","St. George, UT",14794
5683,"IDA","Idaho Falls, ID",12280
5627,"SWF","Newburgh/Poughkeepsie, NY",15070
5626,"MTJ","Montrose/Delta, CO",13502
5604,"TTN","Trenton, NJ",15356
5571,"MOT","Minot, ND",13433
5315,"ELM","Elmira/Corning, NY",11537
5312,"BRO","Brownsville, TX",10747
5257,"SAF","Santa Fe, NM",14674
5195,"EWN","New Bern/Morehead/Beaufort, NC",11617
5104,"LRD","Laredo, TX",13061
5074,"MLB","Melbourne, FL",13360
5029,"ERI","Erie, PA",11577
4808,"KTN","Ketchikan, AK",12819
4791,"BFL","Bakersfield, CA",10561
4750,"EGE","Eagle, CO",11503
4705,"HLN","Helena, MT",12156
4570,"CLL","College Station/Bryan, TX",11049
4396,"CPR","Casper, WY",11122
4335,"LSE","La Crosse, WI",13076
4291,"ABI","Abilene, TX",10136
4258,"BQN","Aguadilla, PR",10732
4214,"GFK","Grand Forks, ND",11898
4212,"FSM","Fort Smith, AR",11778
4194,"TOL","Toledo, OH",15295
4153,"LYH","Lynchburg, VA",13139
3910,"LCH","Lake Charles, LA",12915
3886,"SBY","Salisbury, MD",14704
3815,"MHK","Manhattan/Ft. Riley, KS",13290
3728,"FLG","Flagstaff, AZ",11695
3620,"LNY","Lanai, HI",13034
3611,"SUN","Sun Valley/Hailey/Ketchum, ID",15041
3604,"SPI","Springfield, IL",14952
3531,"HDN","Hayden, CO",12094
3490,"ACV","Arcata/Eureka, CA",10157
3434,"ISN","Williston, ND",12389
3388,"ACT","Waco, TX",10155
3311,"SJT","San Angelo, TX",14842
3295,"YUM","Yuma, AZ",16218
3295,"HHH","Hilton Head, SC",12124
3090,"HTS","Ashland, WV",12223
3003,"PGV","Greenville, NC",14092
3003,"TYR","Tyler, TX",15411
2872,"ORH","Worcester, MA",13933
2751,"ROW","Roswell, NM",14588
2750,"MQT","Marquette, MI",13459
